asset,lambda,m,label,t,w
SPX,0.3,0.1,g_mean,142,0.11856287542501481
SPX,0.3,0.1,g_mean,143,0.29624490341387644
SPX,0.3,0.1,g_mean,144,0.29624615198359944
SPX,0.3,0.1,g_mean,145,0.29624635666394944
SPX,0.3,0.1,g_mean,146,0.29624598913840156
SPX,0.3,0.1,g_mean,147,0.29624856564711954
SPX,0.3,0.1,g_mean,148,0.29624899583572134
SPX,0.3,0.1,g_mean,149,0.29624882421659005
SPX,0.3,0.1,g_mean,150,0.2962476383920402
SPX,0.3,0.1,g_mean,151,0.17907333960666208
SPX,0.3,0.1,g_mean,152,0.17907075999072108
SPX,0.3,0.1,g_mean,153,0.17906994257196285
SPX,0.3,0.1,g_mean,154,0.1790696866262774
SPX,0.3,0.1,g_mean,155,0.1772719175573758
SPX,0.3,0.1,g_mean,156,0.17726659465212458
SPX,0.3,0.1,g_mean,157,0.17726577305144284
SPX,0.3,0.1,g_mean,158,0.1772657386553824
SPX,0.3,0.1,g_mean,159,0.12343541779388617
SPX,0.3,0.1,g_mean,160,0.12322204926903858
SPX,0.3,0.1,g_mean,161,0.12316809163887568
SPX,0.3,0.1,g_mean,162,0.12316578338074809
SPX,0.3,0.1,g_mean,163,0.12316524398194995
SPX,0.3,1.0,low_lambda_high_m,1,0.16469555186521725
SPX,0.3,1.0,low_lambda_high_m,2,0.16469506812713128
SPX,0.3,1.0,low_lambda_high_m,3,0.16469490067533912
SPX,0.3,1.0,low_lambda_high_m,4,0.16469481354796642
SPX,0.3,1.0,low_lambda_high_m,5,0.16469475893617935
SPX,0.3,1.0,low_lambda_high_m,6,0.16469472085159959
SPX,0.3,1.0,low_lambda_high_m,7,0.16469469242573598
SPX,0.3,1.0,low_lambda_high_m,8,0.16469467020909592
SPX,0.3,1.0,low_lambda_high_m,9,0.1646946522702589
SPX,0.3,1.0,low_lambda_high_m,10,0.1646946374366638
SPX,0.3,1.0,low_lambda_high_m,11,0.16469462495017373
SPX,0.3,1.0,low_lambda_high_m,12,0.16469461429506457
SPX,0.3,1.0,low_lambda_high_m,13,0.16469460510543873
SPX,0.3,1.0,low_lambda_high_m,14,0.1646945971123585
SPX,0.3,1.0,low_lambda_high_m,15,0.16469459011222812
SPX,0.3,1.0,low_lambda_high_m,16,0.16469458394717482
SPX,0.3,1.0,low_lambda_high_m,17,0.16469457849247782
SPX,0.3,1.0,low_lambda_high_m,18,0.16469457364824688
SPX,0.3,1.0,low_lambda_high_m,19,0.16469456933370125
SPX,0.3,1.0,low_lambda_high_m,20,0.16469456548307204
SPX,0.3,1.0,low_lambda_high_m,21,0.16469456204254748
SPX,0.3,1.0,low_lambda_high_m,22,0.16469455896792354
SPX,0.3,1.0,low_lambda_high_m,23,0.1646945562227641
SPX,0.3,1.0,low_lambda_high_m,24,0.1646945537769491
SPX,0.3,1.0,low_lambda_high_m,25,0.16469455160552443
SPX,0.3,1.0,low_lambda_high_m,26,0.16469454968779895
SPX,0.3,1.0,low_lambda_high_m,27,0.16469454800663258
SPX,0.3,1.0,low_lambda_high_m,28,0.16469454654788182
SPX,0.3,1.0,low_lambda_high_m,29,0.1646945452999662
SPX,0.3,1.0,low_lambda_high_m,30,0.16469454425353466
SPX,0.3,1.0,low_lambda_high_m,31,0.16469454340120984
SPX,0.3,1.0,low_lambda_high_m,32,0.16469454273739692
SPX,0.3,1.0,low_lambda_high_m,33,0.16469454225814767
SPX,0.3,1.0,low_lambda_high_m,34,0.1646945419610701
SPX,0.3,1.0,low_lambda_high_m,35,0.16469454184528196
SPX,0.3,1.0,low_lambda_high_m,36,0.16469454191140276
SPX,0.3,1.0,low_lambda_high_m,37,0.16469454216158708
SPX,0.3,1.0,low_lambda_high_m,38,0.16469454259959732
SPX,0.3,1.0,low_lambda_high_m,39,0.16469454323092236
SPX,0.3,1.0,low_lambda_high_m,40,0.16469454406294592
SPX,0.3,1.0,low_lambda_high_m,41,0.16469454510517414
SPX,0.3,1.0,low_lambda_high_m,42,0.16469454636953051
SPX,0.3,1.0,low_lambda_high_m,43,0.16469454787073795
SPX,0.3,1.0,low_lambda_high_m,44,0.16469454962680125
SPX,0.3,1.0,low_lambda_high_m,45,0.16469455165961883
SPX,0.3,1.0,low_lambda_high_m,46,0.16469455399575447
SPX,0.3,1.0,low_lambda_high_m,47,0.1646945566674127
SPX,0.3,1.0,low_lambda_high_m,48,0.1646945597136777
SPX,0.3,1.0,low_lambda_high_m,49,0.16469456318209863
SPX,0.3,1.0,low_lambda_high_m,50,0.16469456713074368
SPX,0.3,1.0,low_lambda_high_m,51,0.1646945716309012
SPX,0.3,1.0,low_lambda_high_m,52,0.16469457677070515
SPX,0.3,1.0,low_lambda_high_m,53,0.16469458266009485
SPX,0.3,1.0,low_lambda_high_m,54,0.16469458943774293
SPX,0.3,1.0,low_lambda_high_m,55,0.16469459728091584
SPX,0.3,1.0,low_lambda_high_m,56,0.1646946064197614
SPX,0.3,1.0,low_lambda_high_m,57,0.1646946171583945
SPX,0.3,1.0,low_lambda_high_m,58,0.16469462990666736
SPX,0.3,1.0,low_lambda_high_m,59,0.16469464522921623
SPX,0.3,1.0,low_lambda_high_m,60,0.16469466392340879
SPX,0.3,1.0,low_lambda_high_m,61,0.16469468714751187
SPX,0.3,1.0,low_lambda_high_m,62,0.1646947166398318
SPX,0.3,1.0,low_lambda_high_m,63,0.16469475510778
SPX,0.3,1.0,low_lambda_high_m,64,0.16469477063241642
SPX,0.3,1.0,low_lambda_high_m,65,0.1646947892307039
SPX,0.3,1.0,low_lambda_high_m,66,0.16469481659300925
SPX,0.3,1.0,low_lambda_high_m,67,0.1646948289074626
SPX,0.3,1.0,low_lambda_high_m,68,0.16469484324593878
SPX,0.3,1.0,low_lambda_high_m,69,0.1646948600987157
SPX,0.3,1.0,low_lambda_high_m,70,0.16469486879551096
SPX,0.3,1.0,low_lambda_high_m,71,0.16469487390921173
SPX,0.3,1.0,low_lambda_high_m,72,0.1646948795937817
SPX,0.3,1.0,low_lambda_high_m,73,0.16469488661888246
SPX,0.3,1.0,low_lambda_high_m,74,0.16469489541033766
SPX,0.3,1.0,low_lambda_high_m,75,0.16469490663618913
SPX,0.3,1.0,low_lambda_high_m,76,0.16469492140663242
SPX,0.3,1.0,low_lambda_high_m,77,0.1646949299304405
SPX,0.3,1.0,low_lambda_high_m,78,0.16469493945831226
SPX,0.3,1.0,low_lambda_high_m,79,0.16469495162115366
SPX,0.3,1.0,low_lambda_high_m,80,0.16469496762852834
SPX,0.3,1.0,low_lambda_high_m,81,0.16469498971735727
SPX,0.3,1.0,low_lambda_high_m,82,0.16469502265703648
SPX,0.3,1.0,low_lambda_high_m,83,0.16469506343638646
SPX,0.3,1.0,low_lambda_high_m,84,0.16469511493875824
SPX,0.3,1.0,low_lambda_high_m,85,0.16469522658088065
SPX,0.3,1.0,low_lambda_high_m,86,0.1646953971835644
SPX,0.3,1.0,low_lambda_high_m,87,0.17873757178387611
SPX,0.3,1.0,low_lambda_high_m,88,0.17873760905438982
SPX,0.3,1.0,low_lambda_high_m,89,0.17873762527385254
SPX,0.3,1.0,low_lambda_high_m,90,0.17873764648030277
SPX,0.3,1.0,low_lambda_high_m,91,0.17873765775760309
SPX,0.3,1.0,low_lambda_high_m,92,0.17873766471926364
SPX,0.3,1.0,low_lambda_high_m,93,0.17873766928633564
SPX,0.3,1.0,low_lambda_high_m,94,0.17873767234381244
SPX,0.3,1.0,low_lambda_high_m,95,0.17873767434555485
SPX,0.3,1.0,low_lambda_high_m,96,0.178737676677996
SPX,0.3,1.0,low_lambda_high_m,97,0.17873767963520404
SPX,0.3,1.0,low_lambda_high_m,98,0.1787376817221013
SPX,0.3,1.0,low_lambda_high_m,99,0.17873768438154147
SPX,0.3,1.0,low_lambda_high_m,100,0.1787376877250306
SPX,0.3,1.0,low_lambda_high_m,101,0.17873769191488684
SPX,0.3,1.0,low_lambda_high_m,102,0.17873769719465035
SPX,0.3,1.0,low_lambda_high_m,103,0.1787377009674515
SPX,0.3,1.0,low_lambda_high_m,104,0.17873770347676807
SPX,0.3,1.0,low_lambda_high_m,105,0.1787377050634966
SPX,0.3,1.0,low_lambda_high_m,106,0.17873770693436952
SPX,0.3,1.0,low_lambda_high_m,107,0.17873770911135356
SPX,0.3,1.0,low_lambda_high_m,108,0.1787377116249442
SPX,0.3,1.0,low_lambda_high_m,109,0.1787377132153496
SPX,0.3,1.0,low_lambda_high_m,110,0.1787377140634508
SPX,0.3,1.0,low_lambda_high_m,111,0.17873771514636272
SPX,0.3,1.0,low_lambda_high_m,112,0.17873771647612444
SPX,0.3,1.0,low_lambda_high_m,113,0.17873771710069333
SPX,0.3,1.0,low_lambda_high_m,114,0.17873771708204392
SPX,0.3,1.0,low_lambda_high_m,115,0.17873771727529
SPX,0.3,1.0,low_lambda_high_m,116,0.1787377168307609
SPX,0.3,1.0,low_lambda_high_m,117,0.17873771570696095
SPX,0.3,1.0,low_lambda_high_m,118,0.17873771379177436
SPX,0.3,1.0,low_lambda_high_m,119,0.17873771215860174
SPX,0.3,1.0,low_lambda_high_m,120,0.17873771078868278
SPX,0.3,1.0,low_lambda_high_m,121,0.17873770857231963
SPX,0.3,1.0,low_lambda_high_m,122,0.17873770666196884
SPX,0.3,1.0,low_lambda_high_m,123,0.17873770503412245
SPX,0.3,1.0,low_lambda_high_m,124,0.17873770249113002
SPX,0.3,1.0,low_lambda_high_m,125,0.1787377002834917
SPX,0.3,1.0,low_lambda_high_m,126,0.17873769857205787
SPX,0.3,1.0,low_lambda_high_m,127,0.1787376972992247
SPX,0.3,1.0,low_lambda_high_m,128,0.17873769642452259
SPX,0.3,1.0,low_lambda_high_m,129,0.1787376959214397
SPX,0.3,1.0,low_lambda_high_m,130,0.17873769577524543
SPX,0.3,1.0,low_lambda_high_m,131,0.17873769510360746
SPX,0.3,1.0,low_lambda_high_m,132,0.17873769465172373
SPX,0.3,1.0,low_lambda_high_m,133,0.17873769441511947
SPX,0.3,1.0,low_lambda_high_m,134,0.17873769439135287
SPX,0.3,1.0,low_lambda_high_m,135,0.17873769458008673
SPX,0.3,1.0,low_lambda_high_m,136,0.17873769512653767
SPX,0.3,1.0,low_lambda_high_m,137,0.17873769604636172
SPX,0.3,1.0,low_lambda_high_m,138,0.1787376972033053
SPX,0.3,1.0,low_lambda_high_m,139,0.17873769860997377
SPX,0.3,1.0,low_lambda_high_m,140,0.17873770046916088
SPX,0.3,1.0,low_lambda_high_m,141,0.17873770284490276
SPX,0.3,1.0,low_lambda_high_m,142,0.17873770582805215
SPX,0.3,1.0,low_lambda_high_m,143,0.1787377095493808
SPX,0.3,1.0,low_lambda_high_m,144,0.17873771204005542
SPX,0.3,1.0,low_lambda_high_m,145,0.17873771362479052
SPX,0.3,1.0,low_lambda_high_m,146,0.17873771447557138
SPX,0.3,1.0,low_lambda_high_m,147,0.17873771555904155
SPX,0.3,1.0,low_lambda_high_m,148,0.17873771597116497
SPX,0.3,1.0,low_lambda_high_m,149,0.17873771575073572
SPX,0.3,1.0,low_lambda_high_m,150,0.17873771487767245
SPX,0.3,1.0,low_lambda_high_m,151,0.17873771326801893
SPX,0.3,1.0,low_lambda_high_m,152,0.17873771191832832
SPX,0.3,1.0,low_lambda_high_m,153,0.17873771081378803
SPX,0.3,1.0,low_lambda_high_m,154,0.1787377099423294
SPX,0.3,1.0,low_lambda_high_m,155,0.17873770833553432
SPX,0.3,1.0,low_lambda_high_m,156,0.17873770698903296
SPX,0.3,1.0,low_lambda_high_m,157,0.1787377058878168
SPX,0.3,1.0,low_lambda_high_m,158,0.1787377050198688
SPX,0.3,1.0,low_lambda_high_m,159,0.1787377034176239
SPX,0.3,1.0,low_lambda_high_m,160,0.17873770207585313
SPX,0.3,1.0,low_lambda_high_m,161,0.17873770097953073
SPX,0.3,1.0,low_lambda_high_m,162,0.1787377002657532
SPX,0.3,1.0,low_lambda_high_m,163,0.17873769991382993
SPX,1.8,0.1,high_lambda_low_m,1,0.8625717746330369
SPX,1.8,0.1,high_lambda_low_m,2,0.8626637980466478
SPX,1.8,0.1,high_lambda_low_m,3,0.8627088317323125
SPX,1.8,0.1,high_lambda_low_m,4,0.862738728902575
SPX,1.8,0.1,high_lambda_low_m,5,0.8627612337084237
SPX,1.8,0.1,high_lambda_low_m,6,0.8627793936982563
SPX,1.8,0.1,high_lambda_low_m,7,0.8627947159746939
SPX,1.8,0.1,high_lambda_low_m,8,0.8628080428618066
SPX,1.8,0.1,high_lambda_low_m,9,0.8628198889442353
SPX,1.8,0.1,high_lambda_low_m,10,0.8628305917181232
SPX,1.8,0.1,high_lambda_low_m,11,0.8628403851249897
SPX,1.8,0.1,high_lambda_low_m,12,0.8628494384349357
SPX,1.8,0.1,high_lambda_low_m,13,0.8628578783820174
SPX,1.8,0.1,high_lambda_low_m,14,0.8628658025674402
SPX,1.8,0.1,high_lambda_low_m,15,0.8628732879835196
SPX,1.8,0.1,high_lambda_low_m,16,0.8628803966526926
SPX,1.8,0.1,high_lambda_low_m,17,0.8628871794826107
SPX,1.8,0.1,high_lambda_low_m,18,0.8628936789766701
SPX,1.8,0.1,high_lambda_low_m,19,0.86289993118618
SPX,1.8,0.1,high_lambda_low_m,20,0.8629059671454541
SPX,1.8,0.1,high_lambda_low_m,21,0.8629118139454475
SPX,1.8,0.1,high_lambda_low_m,22,0.8629174955494576
SPX,1.8,0.1,high_lambda_low_m,23,0.8629230334217912
SPX,1.8,0.1,high_lambda_low_m,24,0.8629284470192226
SPX,1.8,0.1,high_lambda_low_m,25,0.862933754181013
SPX,1.8,0.1,high_lambda_low_m,26,0.8629389714435985
SPX,1.8,0.1,high_lambda_low_m,27,0.8629441142992509
SPX,1.8,0.1,high_lambda_low_m,28,0.8629491974131537
SPX,1.8,0.1,high_lambda_low_m,29,0.8629542348098163
SPX,1.8,0.1,high_lambda_low_m,30,0.8629592400372141
SPX,1.8,0.1,high_lambda_low_m,31,0.8629642263152355
SPX,1.8,0.1,high_lambda_low_m,32,0.8629692066737555
SPX,1.8,0.1,high_lambda_low_m,33,0.8629741940848396
SPX,1.8,0.1,high_lambda_low_m,34,0.8629792015931093
SPX,1.8,0.1,high_lambda_low_m,35,0.8629842424481584
SPX,1.8,0.1,high_lambda_low_m,36,0.8629893302430499
SPX,1.8,0.1,high_lambda_low_m,37,0.86299447906339
SPX,1.8,0.1,high_lambda_low_m,38,0.8629997036522954
SPX,1.8,0.1,high_lambda_low_m,39,0.8630050195978226
SPX,1.8,0.1,high_lambda_low_m,40,0.8630104435512307
SPX,1.8,0.1,high_lambda_low_m,41,0.8630159934869777
SPX,1.8,0.1,high_lambda_low_m,42,0.8630216890188263
SPX,1.8,0.1,high_lambda_low_m,43,0.863027551791238
SPX,1.8,0.1,high_lambda_low_m,44,0.8630336059718726
SPX,1.8,0.1,high_lambda_low_m,45,0.8630398788803657
SPX,1.8,0.1,high_lambda_low_m,46,0.8630464018020033
SPX,1.8,0.1,high_lambda_low_m,47,0.8630532110549015
SPX,1.8,0.1,high_lambda_low_m,48,0.8630603494100328
SPX,1.8,0.1,high_lambda_low_m,49,0.8630678680125079
SPX,1.8,0.1,high_lambda_low_m,50,0.8630758290335904
SPX,1.8,0.1,high_lambda_low_m,51,0.863084309421275
SPX,1.8,0.1,high_lambda_low_m,52,0.8630934063609578
SPX,1.8,0.1,high_lambda_low_m,53,0.8631032455025213
SPX,1.8,0.1,high_lambda_low_m,54,0.8631139938584095
SPX,1.8,0.1,high_lambda_low_m,55,0.8631258809856526
SPX,1.8,0.1,high_lambda_low_m,56,0.8631392357330545
SPX,1.8,0.1,high_lambda_low_m,57,0.8631545542934121
SPX,1.8,0.1,high_lambda_low_m,58,0.8631726364909498
SPX,1.8,0.1,high_lambda_low_m,59,0.8631948869552303
SPX,1.8,0.1,high_lambda_low_m,60,0.8632240853477523
SPX,1.8,0.1,high_lambda_low_m,61,0.8632669576852638
SPX,1.8,0.1,high_lambda_low_m,62,0.8633487997689531
SPX,1.8,0.1,high_lambda_low_m,63,0.8774640056977349
SPX,1.8,0.1,high_lambda_low_m,64,0.8774639970747484
SPX,1.8,0.1,high_lambda_low_m,65,0.8774640197996739
SPX,1.8,0.1,high_lambda_low_m,66,0.8794474814877474
SPX,1.8,0.1,high_lambda_low_m,67,0.8794474768722569
SPX,1.8,0.1,high_lambda_low_m,68,0.8794475139588915
SPX,1.8,0.1,high_lambda_low_m,69,0.8818569480419401
SPX,1.8,0.1,high_lambda_low_m,70,0.8818569480565819
SPX,1.8,0.1,high_lambda_low_m,71,0.8651763275011501
SPX,1.8,0.1,high_lambda_low_m,72,0.8651755547282957
SPX,1.8,0.1,high_lambda_low_m,73,0.8651754694161321
SPX,1.8,0.1,high_lambda_low_m,74,0.8651754395220369
SPX,1.8,0.1,high_lambda_low_m,75,0.8651754314374962
SPX,1.8,0.1,high_lambda_low_m,76,0.8651754396375702
SPX,1.8,0.1,high_lambda_low_m,77,0.8651741224005433
SPX,1.8,0.1,high_lambda_low_m,78,0.8651737601536325
SPX,1.8,0.1,high_lambda_low_m,79,0.8651736988614065
SPX,1.8,0.1,high_lambda_low_m,80,0.8651736779755423
SPX,1.8,0.1,high_lambda_low_m,81,0.865173675889542
SPX,1.8,0.1,high_lambda_low_m,82,0.8651736909603208
SPX,1.8,0.1,high_lambda_low_m,83,0.8651737119069599
SPX,1.8,0.1,high_lambda_low_m,84,0.8651737398889847
SPX,1.8,0.1,high_lambda_low_m,85,0.8651738191493975
SPX,1.8,0.1,high_lambda_low_m,86,0.8651739305701086
SPX,1.8,0.1,high_lambda_low_m,87,0.8959905991037933
SPX,1.8,0.1,high_lambda_low_m,88,0.8959906359797082
SPX,1.8,0.1,high_lambda_low_m,89,0.8959906312157914
SPX,1.8,0.1,high_lambda_low_m,90,0.9003006749488357
SPX,1.8,0.1,high_lambda_low_m,91,0.9003007377493857
SPX,1.8,0.1,high_lambda_low_m,92,0.9003007501653031
SPX,1.8,0.1,high_lambda_low_m,93,0.9003007377576755
SPX,1.8,0.1,high_lambda_low_m,94,0.9003006750010759
SPX,1.8,0.1,high_lambda_low_m,95,0.8724666516580324
SPX,1.8,0.1,high_lambda_low_m,96,0.8724665534050446
SPX,1.8,0.1,high_lambda_low_m,97,0.8724665405220491
SPX,1.8,0.1,high_lambda_low_m,98,0.8722375228380321
SPX,1.8,0.1,high_lambda_low_m,99,0.8722374748202377
SPX,1.8,0.1,high_lambda_low_m,100,0.8722374740159355
SPX,1.8,0.1,high_lambda_low_m,101,0.8722375158974586
SPX,1.8,0.1,high_lambda_low_m,102,0.8869604555914526
SPX,1.8,0.1,high_lambda_low_m,103,0.8869605390224681
SPX,1.8,0.1,high_lambda_low_m,104,0.8869605288813417
SPX,1.8,0.1,high_lambda_low_m,105,0.8833438378262077
SPX,1.8,0.1,high_lambda_low_m,106,0.8833438149414178
SPX,1.8,0.1,high_lambda_low_m,107,0.8833438378165376
SPX,1.8,0.1,high_lambda_low_m,108,0.8877113090429581
SPX,1.8,0.1,high_lambda_low_m,109,0.8877113208104696
SPX,1.8,0.1,high_lambda_low_m,110,0.8877112530366902
SPX,1.8,0.1,high_lambda_low_m,111,0.8877112648014673
SPX,1.8,0.1,high_lambda_low_m,112,0.8940487938529449
SPX,1.8,0.1,high_lambda_low_m,113,0.8940488230442385
SPX,1.8,0.1,high_lambda_low_m,114,0.894048810177138
SPX,1.8,0.1,high_lambda_low_m,115,0.8940489861096204
SPX,1.8,0.1,high_lambda_low_m,116,0.894048998994445
SPX,1.8,0.1,high_lambda_low_m,117,0.8940489698188532
SPX,1.8,0.1,high_lambda_low_m,118,0.8795257770391567
SPX,1.8,0.1,high_lambda_low_m,119,0.8795257387594932
SPX,1.8,0.1,high_lambda_low_m,120,0.8795257425092149
SPX,1.8,0.1,high_lambda_low_m,121,0.8793691813172229
SPX,1.8,0.1,high_lambda_low_m,122,0.8793691412627562
